,Area,2016
1,Barking and Dagenham,++
2,Barnet,274835
3,Bexley,478051
4,Brent,312076
5,Bromley,431970
6,Camden,423557
7,Croydon,752638
8,Ealing,331325
9,Enfield,446024
10,Greenwich,371791
11,Hackney,393109
12,Hammersmith and Fulham,515050
13,Haringey,718366
14,Harrow,449162
15,Havering,413143
16,Hillingdon,324690
17,Hounslow,382931
18,Islington,395683
19,Kensington and Chelsea,616442
20,Kingston upon Thames,1243237
21,Lambeth,471030
22,Lewisham,502453
23,Merton,384740
24,Newham,467941
25,Redbridge,340889
26,Richmond upon Thames,373756
27,Southwark,611014
28,Sutton,535593
29,Tower Hamlets,459567
30,Waltham Forest,386035
31,Wandsworth,635689
32,Westminster,1005244
33,Inner London,566636
34,Outer London,395082
35,North East,124220
36,North West,146016
37,Yorkshire And The Humber,149208
38,East Midlands,170634
39,West Midlands,175181
40,East of England,258431
41,London,457285
42,South East,298871
43,South West,231891
44,England,222070
45,Wales,145785
46,England And Wales,216532
