Borough,201511,201512,201601,201602,201603,201604,201605,201606,201607,201608,201609,201610,201611,201612,201701,201702,201703,201704,201705,201706,201707,201708,201709,201710
Barking and Dagenham,1518,1481,1423,1417,1555,1414,1651,1556,1624,1446,1460,1411,1402,1358,1376,1410,1601,1494,1702,1576,1709,1604,1545,1638
Barnet,2208,2145,2051,1974,2154,2170,2267,2198,2148,2132,2222,2175,2141,2089,2075,2043,2433,2197,2283,2205,2377,2199,2141,2405
Bexley,1108,1059,1147,1066,1105,966,1060,1086,1146,1045,1149,1210,1211,1240,1100,1148,1269,1090,1190,1284,1247,1209,1296,1421
Brent,2470,2213,2192,2131,2211,2216,2484,2392,2368,2331,2288,2453,2242,2369,2227,2128,2507,2319,2556,2480,2519,2514,2536,2766
Bromley,1743,1751,1748,1695,1746,1583,1766,1652,1834,1585,1640,1796,1797,1900,1756,1847,2195,1908,1902,1915,1892,1855,1804,1836
Camden,2569,2464,2398,2430,2373,2315,2568,2449,2705,2577,2515,2629,2510,2715,2460,2575,3036,2907,3372,3376,3511,3366,3288,3590
Croydon,2558,2339,2334,2260,2313,2458,2727,2581,2827,2643,2611,2527,2428,2538,2510,2307,2678,2384,2596,2589,2661,2582,2501,2511
Ealing,2299,2328,2228,1906,2164,2335,2535,2488,2591,2404,2398,2385,2241,2361,2115,2170,2431,2241,2441,2463,2542,2285,2230,2608
Enfield,2030,2008,1791,1804,2043,1941,2130,1853,2040,1838,1959,2047,2029,1843,1818,1859,2184,2098,2173,2114,2187,2038,2015,2291
Greenwich,1919,1823,1916,1747,1904,1871,1936,2074,2135,1992,2014,2057,1958,1954,2110,1930,2243,2014,2196,2117,2265,2090,2095,2309
Hackney,2258,2155,2172,2090,2258,2277,2470,2728,2659,2654,2517,2532,2384,2419,2385,2527,2960,2636,2808,2843,3001,2568,2402,2656
Hammersmith and Fulham,1818,1764,1638,1645,1701,1748,1969,1798,1751,1842,1691,1783,1623,1697,1622,1536,1878,1665,1858,1823,1886,1873,1671,1884
Haringey,2329,2210,2050,2173,2295,2250,2490,2356,2561,2317,2492,2375,2387,2495,2257,2237,2442,2407,2565,2495,2928,2642,2534,2604
Harrow,1242,1154,1112,1020,1173,1067,1138,1195,1222,1060,1133,1146,1151,1191,1055,1073,1241,1153,1207,1171,1249,1105,1164,1245
Havering,1512,1481,1369,1435,1473,1484,1562,1523,1458,1373,1412,1458,1458,1482,1522,1349,1615,1542,1676,1620,1532,1604,1482,1658
Hillingdon,1908,1922,1838,1799,1754,1704,2051,1815,2000,1864,1909,2009,1886,2133,1890,1888,2275,1878,2212,2017,2086,1891,2030,2242
Hounslow,1952,1877,1774,1782,1777,1784,2007,1921,1971,1931,1932,2202,1967,1857,1865,1820,2123,1870,2196,2143,2177,2138,2007,2250
Islington,2403,2430,2421,2232,2185,2166,2228,2523,2651,2271,2188,2311,2306,2398,2317,2259,2888,2411,2885,3054,3007,2818,2645,2761
Kensington and Chelsea,1672,1724,1565,1417,1566,1469,1677,1679,1698,2507,1765,1653,1589,1685,1534,1366,1790,1722,1821,1742,1954,2401,1771,1741
Kingston upon Thames,884,931,832,837,815,889,910,827,849,823,933,886,844,919,897,867,997,909,975,875,987,964,929,1031
Lambeth,3080,2873,2829,2709,2821,2845,3197,3056,3292,3149,3022,3000,2803,2786,2813,2406,2832,2803,2953,2969,3277,3213,2838,2905
Lewisham,2135,2082,2081,1932,2050,1964,2260,2228,2223,2076,1985,2090,2021,2048,1863,1962,2290,2028,2200,2110,2124,2138,2089,2091
London Heathrow and London City Airports,241,232,250,244,240,251,329,313,258,250,294,249,279,303,276,245,306,269,299,279,303,358,343,330
Merton,1134,1075,1062,1046,1168,1085,1152,1010,1204,1161,1095,1098,1123,1034,1063,1087,1116,1093,1202,1180,1215,1089,1177,1154
Newham,2650,2468,2521,2394,2458,2433,2576,2542,2664,2618,2521,2899,2786,2811,2611,2547,3042,2784,2729,2825,3069,2830,2855,3144
Redbridge,1777,1736,1536,1655,1748,1680,1711,1633,1798,1758,1647,1761,1669,1609,1771,1666,1956,1768,1999,2056,2060,1954,2037,2196
Richmond upon Thames,855,872,865,824,888,873,1105,998,1094,977,1049,952,950,883,911,914,1082,1041,1242,1199,1257,1083,1167,1151
Southwark,2798,2640,2553,2482,2561,2651,3015,2753,2799,2797,2857,2797,2601,2686,2733,2532,2827,2591,2780,2831,2988,3017,2900,2957
Sutton,857,907,933,944,971,937,958,924,871,797,926,888,981,916,933,914,1009,951,1144,1160,956,962,1017,1073
Tower Hamlets,2397,2486,2450,2183,2314,2425,2636,2597,2948,2570,2607,2811,2608,2555,2380,2369,2557,2721,2839,2805,3098,2641,2595,2935
Waltham Forest,1969,1894,1749,1752,1817,1729,1827,1884,1898,1737,1718,1834,1772,1769,1820,1764,2002,1762,1923,2040,1976,1795,1878,2095
Wandsworth,1997,1890,1882,1854,1947,1958,2141,2036,2390,2125,2129,2286,1981,1991,1849,1812,2140,1931,2251,2184,2360,2029,2052,2221
Westminster,4364,4562,4185,3900,3878,3884,3953,3940,4548,4433,3922,4255,4437,4901,4199,3850,4849,4756,4916,4561,5176,5071,4726,4856
